name,type,size,parent_directory
678,directory,15597204,C:\Python
.idea,directory,1162,C:\Python\678
678.iml,file,291,C:\Python\678\.idea
inspectionProfiles,directory,606,C:\Python\678\.idea
profiles_settings.xml,file,174,C:\Python\678\.idea\inspectionProfiles
Project_Default.xml,file,432,C:\Python\678\.idea\inspectionProfiles
modules.xml,file,265,C:\Python\678\.idea
hw6,directory,4104,C:\Python\678
2.py,file,410,C:\Python\678\hw6
3.py,file,487,C:\Python\678\hw6
4.py,file,916,C:\Python\678\hw6
5.py,file,750,C:\Python\678\hw6
chess.py,file,406,C:\Python\678\hw6
chess_rand.py,file,587,C:\Python\678\hw6
__init__.py,file,0,C:\Python\678\hw6
__pycache__,directory,548,C:\Python\678\hw6
chess.cpython-312.pyc,file,548,C:\Python\678\hw6\__pycache__
hw8,directory,966792,C:\Python\678
2.py,file,1618,C:\Python\678\hw8
directory_info.csv,file,256872,C:\Python\678\hw8
directory_info.json,file,565013,C:\Python\678\hw8
directory_info.pickle,file,135130,C:\Python\678\hw8
s8,directory,8159,C:\Python\678\hw8
8.1.1.py,file,275,C:\Python\678\hw8\s8
8.1.py,file,1550,C:\Python\678\hw8\s8
8.2.1.py,file,360,C:\Python\678\hw8\s8
8.2.py,file,2167,C:\Python\678\hw8\s8
8.3.py,file,1425,C:\Python\678\hw8\s8
8.4.py,file,901,C:\Python\678\hw8\s8
8.5.py,file,862,C:\Python\678\hw8\s8
8.6.py,file,425,C:\Python\678\hw8\s8
dict_list.csv,file,24,C:\Python\678\hw8\s8
dict_list.pickle,file,42,C:\Python\678\hw8\s8
result1.json,file,128,C:\Python\678\hw8\s8
__init__.py,file,0,C:\Python\678\hw8\s8
s6,directory,6496,C:\Python\678
6.1.py,file,858,C:\Python\678\s6
6.2.py,file,1076,C:\Python\678\s6
6.3.py,file,1400,C:\Python\678\s6
6.4.py,file,1484,C:\Python\678\s6
6.5.py,file,315,C:\Python\678\s6
6.6.py,file,463,C:\Python\678\s6
6.7.py,file,375,C:\Python\678\s6
module2.py,file,525,C:\Python\678\s6
__pycache__,directory,0,C:\Python\678\s6
venv,directory,14618650,C:\Python\678
Include,directory,0,C:\Python\678\venv
Lib,directory,13733628,C:\Python\678\venv
site-packages,directory,13733628,C:\Python\678\venv\Lib
pip,directory,13640706,C:\Python\678\venv\Lib\site-packages
py.typed,file,286,C:\Python\678\venv\Lib\site-packages\pip
_internal,directory,2329722,C:\Python\678\venv\Lib\site-packages\pip
build_env.py,file,10243,C:\Python\678\venv\Lib\site-packages\pip\_internal
cache.py,file,10429,C:\Python\678\venv\Lib\site-packages\pip\_internal
cli,directory,192851,C:\Python\678\venv\Lib\site-packages\pip\_internal
autocompletion.py,file,6676,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
base_command.py,file,8726,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
cmdoptions.py,file,30030,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
command_context.py,file,774,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
main.py,file,2816,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
main_parser.py,file,4338,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
parser.py,file,10817,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
progress_bars.py,file,1968,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
req_command.py,file,18440,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
spinners.py,file,5118,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
status_codes.py,file,116,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
__init__.py,file,132,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
__pycache__,directory,102900,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli
autocompletion.cpython-312.pyc,file,8425,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
base_command.cpython-312.pyc,file,10411,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
cmdoptions.cpython-312.pyc,file,30314,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
command_context.cpython-312.pyc,file,1748,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
main.cpython-312.pyc,file,2271,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
main_parser.cpython-312.pyc,file,4878,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
parser.cpython-312.pyc,file,15046,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
progress_bars.cpython-312.pyc,file,2590,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
req_command.cpython-312.pyc,file,18811,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
spinners.cpython-312.pyc,file,7807,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
status_codes.cpython-312.pyc,file,348,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
__init__.cpython-312.pyc,file,251,C:\Python\678\venv\Lib\site-packages\pip\_internal\cli\__pycache__
commands,directory,262728,C:\Python\678\venv\Lib\site-packages\pip\_internal
cache.py,file,7581,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
check.py,file,1782,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
completion.py,file,3986,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
configuration.py,file,9815,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
debug.py,file,6591,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
download.py,file,5335,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
freeze.py,file,3172,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
hash.py,file,1703,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
help.py,file,1132,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
index.py,file,4793,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
inspect.py,file,3188,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
install.py,file,28934,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
list.py,file,12457,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
search.py,file,5697,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
show.py,file,6419,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
uninstall.py,file,3886,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
wheel.py,file,6476,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
__init__.py,file,3882,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
__pycache__,directory,145899,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands
cache.cpython-312.pyc,file,9352,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
check.cpython-312.pyc,file,2063,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
completion.cpython-312.pyc,file,4860,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
configuration.cpython-312.pyc,file,13227,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
debug.cpython-312.pyc,file,10038,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
download.cpython-312.pyc,file,7559,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
freeze.cpython-312.pyc,file,4329,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
hash.cpython-312.pyc,file,2956,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
help.cpython-312.pyc,file,1646,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
index.cpython-312.pyc,file,6745,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
inspect.cpython-312.pyc,file,3948,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
install.cpython-312.pyc,file,28939,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
list.cpython-312.pyc,file,15348,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
search.cpython-312.pyc,file,7591,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
show.cpython-312.pyc,file,9701,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
uninstall.cpython-312.pyc,file,4699,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
wheel.cpython-312.pyc,file,8923,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
__init__.cpython-312.pyc,file,3975,C:\Python\678\venv\Lib\site-packages\pip\_internal\commands\__pycache__
configuration.py,file,13839,C:\Python\678\venv\Lib\site-packages\pip\_internal
distributions,directory,24907,C:\Python\678\venv\Lib\site-packages\pip\_internal
base.py,file,1221,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
installed.py,file,729,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
sdist.py,file,6494,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
wheel.py,file,1164,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
__init__.py,file,858,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
__pycache__,directory,14441,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions
base.cpython-312.pyc,file,2153,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions\__pycache__
installed.cpython-312.pyc,file,1413,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions\__pycache__
sdist.cpython-312.pyc,file,8000,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions\__pycache__
wheel.cpython-312.pyc,file,1961,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions\__pycache__
__init__.cpython-312.pyc,file,914,C:\Python\678\venv\Lib\site-packages\pip\_internal\distributions\__pycache__
exceptions.py,file,23737,C:\Python\678\venv\Lib\site-packages\pip\_internal
index,directory,133573,C:\Python\678\venv\Lib\site-packages\pip\_internal
collector.py,file,16504,C:\Python\678\venv\Lib\site-packages\pip\_internal\index
package_finder.py,file,37873,C:\Python\678\venv\Lib\site-packages\pip\_internal\index
sources.py,file,6556,C:\Python\678\venv\Lib\site-packages\pip\_internal\index
__init__.py,file,30,C:\Python\678\venv\Lib\site-packages\pip\_internal\index
__pycache__,directory,72610,C:\Python\678\venv\Lib\site-packages\pip\_internal\index
collector.cpython-312.pyc,file,21828,C:\Python\678\venv\Lib\site-packages\pip\_internal\index\__pycache__
package_finder.cpython-312.pyc,file,40741,C:\Python\678\venv\Lib\site-packages\pip\_internal\index\__pycache__
sources.cpython-312.pyc,file,9836,C:\Python\678\venv\Lib\site-packages\pip\_internal\index\__pycache__
__init__.cpython-312.pyc,file,205,C:\Python\678\venv\Lib\site-packages\pip\_internal\index\__pycache__
locations,directory,67033,C:\Python\678\venv\Lib\site-packages\pip\_internal
base.py,file,2556,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations
_distutils.py,file,6100,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations
_sysconfig.py,file,7680,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations
__init__.py,file,15365,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations
__pycache__,directory,35332,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations
base.cpython-312.pyc,file,3754,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations\__pycache__
_distutils.cpython-312.pyc,file,6845,C:\Python\678\venv\Lib\site-packages\pip\_internal\locations\__pycache__
